Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
HSD17B4	4	1.15e-04	2.35e-02	0.225	0.058	1.28e-03	1.95e-02	1.59e-01	9.78e-01
HSP90AB1	3	1.39e-10	4.55e-07	-0.4	0.062	1.50e-08	1.22e-06	6.73e-02	9.10e-01
IFI16	3	1.37e-06	1.04e-03	-0.46	0.095	4.93e-05	1.51e-03	4.75e-02	8.64e-01
IFI44	4	9.46e-10	2.58e-06	-0.642	0.105	4.32e-06	1.93e-04	2.13e-02	7.82e-01
IFIH1	3	2.22e-06	1.30e-03	-0.459	0.097	8.32e-04	1.42e-02	4.99e-02	8.72e-01
IFNGR1	3	2.03e-05	6.75e-03	0.438	0.103	2.07e-04	4.83e-03	9.08e-02	9.45e-01
JADE2	3	2.13e-04	3.50e-02	0.284	0.077	2.95e-04	6.40e-03	2.09e-01	1.00e+00
KATNAL1	2	1.48e-04	2.75e-02	0.299	0.079	2.78e-04	6.13e-03	1.26e-02	7.23e-01
KCNB1	4	2.29e-04	3.67e-02	0.248	0.067	2.10e-04	4.86e-03	1.77e-02	7.72e-01
KCNE3	2	3.16e-04	4.62e-02	-0.92	0.255	8.65e-10	9.33e-08	1.82e-03	4.45e-01
KLF9	4	6.39e-02	5.24e-01	0.972	0.524	1.09e-25	6.40e-23	1.40e-05	3.82e-02
LARP6	3	5.17e-07	4.98e-04	-0.399	0.079	3.40e-05	1.09e-03	1.65e-02	7.73e-01
LINC00957	2	1.19e-04	2.37e-02	0.269	0.07	2.61e-03	3.40e-02	6.00e-02	9.01e-01
LOXL1-AS1	2	6.21e-06	2.67e-03	-0.613	0.136	1.79e-05	6.48e-04	4.04e-02	8.51e-01
LRRN1	2	1.48e-05	5.44e-03	-0.982	0.227	9.06e-05	2.49e-03	2.70e-02	8.26e-01
MAOA	4	6.43e-01	9.14e-01	0.413	0.893	2.40e-54	1.96e-50	4.00e-06	1.31e-02
MAPRE2	3	2.71e-04	4.18e-02	-0.585	0.161	1.34e-08	1.11e-06	2.88e-03	5.29e-01
MDK	4	1.91e-05	6.65e-03	-0.397	0.093	4.88e-05	1.50e-03	6.58e-02	9.06e-01
METTL7A	3	4.10e-02	4.50e-01	1.388	0.679	1.49e-23	7.62e-21	2.00e-06	9.36e-03
MIPEP	3	6.35e-05	1.51e-02	-0.351	0.088	1.51e-03	2.21e-02	2.01e-01	9.91e-01
NT5E	3	1.97e-07	2.15e-04	-0.672	0.129	6.59e-06	2.74e-04	1.32e-02	7.31e-01
OBSL1	3	6.07e-05	1.48e-02	0.202	0.05	3.70e-03	4.45e-02	2.85e-01	1.04e+00
PARP9	2	2.44e-05	7.68e-03	-0.437	0.104	3.24e-04	6.89e-03	3.50e-02	8.49e-01
PCNXL2	2	4.22e-06	2.16e-03	-0.634	0.138	1.68e-05	6.10e-04	1.09e-01	9.57e-01
PDK4	3	3.91e-06	2.13e-03	0.954	0.207	2.27e-05	7.78e-04	9.20e-03	6.64e-01
PGM3	4	6.06e-07	5.52e-04	-0.43	0.086	3.12e-05	1.02e-03	3.59e-02	8.52e-01
POLR3G	3	4.65e-06	2.29e-03	-0.282	0.062	8.70e-04	1.47e-02	4.51e-02	8.62e-01
PPA1	3	6.64e-06	2.79e-03	-0.373	0.083	4.96e-04	9.57e-03	4.54e-02	8.65e-01
PPIC	4	1.37e-04	2.64e-02	-0.288	0.076	1.54e-03	2.25e-02	1.34e-01	9.80e-01
PQLC1	3	5.02e-07	4.98e-04	0.373	0.074	1.16e-03	1.82e-02	1.93e-01	9.86e-01
PRIM2	4	1.60e-06	1.05e-03	-0.479	0.1	2.63e-04	5.90e-03	1.19e-01	9.73e-01
PRKACB	3	2.35e-08	4.28e-05	-0.526	0.094	1.60e-07	1.07e-05	1.52e-02	7.54e-01
RANBP3	4	2.96e-05	9.13e-03	-0.33	0.079	7.27e-05	2.09e-03	1.03e-01	9.52e-01
RAP2B	3	4.67e-05	1.21e-02	-0.872	0.214	6.05e-17	1.84e-14	2.16e-02	7.87e-01
RGS4	3	1.98e-04	3.34e-02	-0.391	0.105	1.32e-03	1.99e-02	1.19e-01	9.72e-01
ROCK2	3	6.07e-02	5.15e-01	0.444	0.236	7.12e-19	2.59e-16	1.50e-05	3.51e-02
RPS6KA2	3	6.23e-08	8.51e-05	0.644	0.119	5.66e-13	1.13e-10	1.39e-04	1.20e-01
SAMD9L	2	3.94e-08	6.37e-05	-0.503	0.092	5.49e-07	3.15e-05	8.42e-03	6.66e-01
SARS	3	5.20e-12	2.84e-08	-0.545	0.079	9.54e-10	1.01e-07	7.00e-02	9.17e-01
SCP2	3	9.39e-06	3.75e-03	-0.298	0.067	1.98e-04	4.67e-03	1.60e-01	9.77e-01
SGSH	3	1.49e-05	5.44e-03	-0.209	0.048	6.41e-06	2.68e-04	4.49e-03	6.12e-01
SLA2	2	2.90e-06	1.64e-03	0.59	0.126	4.73e-06	2.08e-04	4.02e-03	6.05e-01
SLC25A25	2	4.10e-06	2.16e-03	0.464	0.101	1.55e-05	5.74e-04	7.61e-02	9.21e-01
SNX2	4	1.83e-05	6.50e-03	-0.326	0.076	7.48e-05	2.14e-03	1.03e-01	9.50e-01
SOX2	2	1.54e-06	1.05e-03	-0.305	0.064	3.52e-05	1.12e-03	1.58e-03	4.11e-01
SRP72	3	3.09e-04	4.56e-02	-0.208	0.058	3.24e-04	6.89e-03	6.25e-02	9.02e-01
ST13	3	4.89e-06	2.29e-03	-0.303	0.066	3.64e-04	7.50e-03	3.04e-01	1.04e+00
STAT5B	3	7.25e-06	2.97e-03	0.392	0.087	9.61e-10	1.02e-07	4.24e-03	6.23e-01
SYNC	3	1.51e-04	2.77e-02	-0.271	0.072	1.72e-03	2.47e-02	2.16e-01	1.01e+00
SYTL5	2	4.17e-05	1.14e-02	-0.711	0.174	1.26e-04	3.26e-03	1.44e-02	7.54e-01
TARDBP	3	1.47e-04	2.75e-02	-0.272	0.072	2.85e-03	3.65e-02	1.54e-01	9.83e-01
TECPR2	3	3.84e-05	1.12e-02	0.215	0.052	7.74e-04	1.35e-02	9.69e-02	9.48e-01
TET2	2	4.05e-05	1.13e-02	-0.452	0.11	1.00e-04	2.70e-03	1.45e-02	7.53e-01
TMCO6	3	2.01e-05	6.75e-03	0.433	0.102	3.21e-03	3.99e-02	1.41e-01	9.85e-01
TMEM43	3	3.30e-04	4.67e-02	0.192	0.053	1.57e-03	2.28e-02	1.98e-01	9.86e-01
TMPO	3	3.73e-05	1.12e-02	-0.353	0.086	1.26e-06	6.37e-05	2.24e-03	4.71e-01
TNFSF10	3	1.16e-07	1.36e-04	-0.574	0.108	1.37e-06	6.90e-05	3.96e-03	6.06e-01
TOMM40L	2	3.01e-04	4.48e-02	-0.278	0.077	6.24e-04	1.14e-02	1.77e-02	7.73e-01
TRA2B	3	3.35e-04	4.70e-02	-0.152	0.042	4.06e-03	4.73e-02	8.33e-02	9.38e-01
TSC22D3	3	4.85e-04	6.07e-02	2.288	0.656	2.13e-27	1.75e-24	1.00e-06	8.19e-03
TTC28-AS1	2	1.32e-04	2.58e-02	-0.387	0.101	6.83e-05	1.98e-03	2.58e-02	8.29e-01
TXNL1	3	4.59e-05	1.21e-02	-0.247	0.061	6.15e-05	1.81e-03	4.68e-02	8.64e-01
VAPA	4	1.39e-06	1.04e-03	0.378	0.078	2.32e-05	7.91e-04	1.47e-01	9.82e-01
VSTM2L	2	1.23e-04	2.43e-02	0.564	0.147	3.28e-03	4.05e-02	4.09e-02	8.52e-01
WBP1L	4	6.10e-09	1.43e-05	0.502	0.086	1.56e-07	1.04e-05	3.17e-02	8.31e-01
WHSC1	4	5.59e-05	1.39e-02	-0.322	0.08	4.25e-05	1.32e-03	1.30e-01	9.75e-01
WIPI1	3	6.41e-19	1.05e-14	0.756	0.085	2.74e-10	3.35e-08	7.30e-05	9.20e-02
XCL1	2	6.82e-05	1.57e-02	-0.263	0.066	4.10e-03	4.76e-02	5.46e-02	8.92e-01
ZBTB16	3	4.97e-02	4.83e-01	2.72	1.386	7.13e-51	3.89e-47	2.30e-05	4.71e-02
ZMAT3	3	1.76e-06	1.07e-03	-0.381	0.08	1.06e-07	7.45e-06	2.53e-02	8.26e-01
ZNF436	2	3.89e-05	1.12e-02	-0.431	0.105	9.95e-04	1.63e-02	1.60e-01	9.77e-01
