Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
C1orf186	2	9.79e-17	3.14e-13	1.172	0.141	2.49e-06	1.74e-04	4.14e-04	5.74e-02
C3orf33	5	7.91e-04	4.99e-02	-0.208	0.062	5.80e-05	2.20e-03	1.45e-02	4.07e-01
C5orf30	7	8.12e-01	9.60e-01	0.037	0.156	4.14e-03	4.99e-02	1.52e-04	3.16e-02
CALCOCO1	7	4.50e-04	3.40e-02	0.212	0.061	2.27e-04	6.25e-03	7.73e-02	7.95e-01
CALR	7	2.65e-05	4.83e-03	-0.182	0.043	1.18e-03	2.09e-02	1.21e-01	9.08e-01
CCDC25	7	1.38e-05	2.89e-03	0.149	0.034	3.31e-06	2.18e-04	1.38e-02	4.01e-01
CCDC6	7	2.69e-05	4.83e-03	0.424	0.101	6.13e-17	8.60e-14	8.00e-06	4.33e-03
CCND3	7	1.02e-01	5.25e-01	0.311	0.19	3.57e-08	5.01e-06	4.60e-05	1.34e-02
CCNDBP1	6	5.66e-04	3.96e-02	0.258	0.075	3.00e-07	3.05e-05	1.99e-03	1.42e-01
CCR7	7	1.35e-04	1.58e-02	-0.258	0.067	2.04e-03	3.10e-02	2.00e-01	1.01e+00
CD300C	6	1.58e-04	1.73e-02	-0.224	0.059	2.19e-04	6.07e-03	4.71e-02	6.65e-01
CD44	7	7.90e-06	2.03e-03	-0.567	0.127	1.19e-09	2.71e-07	9.30e-05	2.27e-02
CD82	7	2.10e-04	2.11e-02	-0.279	0.075	3.96e-05	1.61e-03	3.65e-02	6.09e-01
CD99L2	6	4.22e-04	3.28e-02	0.132	0.038	3.95e-03	4.85e-02	4.04e-01	1.11e+00
CDC25C	7	3.94e-04	3.15e-02	0.164	0.046	1.47e-03	2.46e-02	2.04e-01	1.01e+00
CDK19	7	3.31e-01	7.68e-01	0.14	0.145	2.00e-06	1.45e-04	2.73e-04	4.29e-02
CELF2	7	1.49e-06	6.41e-04	0.76	0.158	2.57e-16	3.04e-13	1.00e-06	0.00e+00
CFLAR	6	2.89e-02	3.26e-01	0.338	0.155	1.89e-08	2.97e-06	6.00e-06	3.55e-03
CIRBP	7	2.05e-04	2.07e-02	0.289	0.078	6.15e-05	2.30e-03	9.08e-02	8.28e-01
CLHC1	6	2.31e-04	2.22e-02	0.419	0.114	2.53e-06	1.75e-04	1.30e-02	3.90e-01
CLPP	7	7.18e-04	4.74e-02	0.167	0.049	8.62e-05	2.95e-03	6.57e-02	7.51e-01
CMC2	7	1.36e-06	5.98e-04	-0.185	0.038	9.50e-05	3.18e-03	1.74e-02	4.46e-01
CORO1C	7	7.21e-04	4.74e-02	0.453	0.134	1.87e-07	2.03e-05	1.50e-03	1.22e-01
CPD	7	4.52e-17	1.69e-13	0.64	0.076	4.19e-18	7.24e-15	1.00e-06	0.00e+00
CPOX	6	8.78e-05	1.15e-02	0.263	0.067	3.32e-05	1.41e-03	5.05e-03	2.44e-01
CRISPLD1	6	2.53e-03	1.00e-01	0.803	0.266	2.55e-09	5.22e-07	2.12e-04	3.71e-02
CRK	7	7.46e-04	4.83e-02	0.135	0.04	2.95e-03	3.97e-02	2.12e-01	1.02e+00
CRLF3	7	1.21e-06	5.56e-04	-0.223	0.046	1.01e-07	1.18e-05	1.79e-03	1.32e-01
CROCC	7	1.04e-02	2.12e-01	0.349	0.136	1.37e-07	1.51e-05	1.77e-04	3.31e-02
CSK	7	5.68e-04	3.96e-02	-0.282	0.082	2.25e-06	1.59e-04	9.02e-03	3.21e-01
CTBP1	7	1.41e-11	2.88e-08	0.259	0.038	3.42e-06	2.24e-04	8.49e-03	3.15e-01
CTBP1-AS2	5	5.03e-05	7.74e-03	0.246	0.061	1.37e-03	2.33e-02	1.11e-01	8.81e-01
CUEDC1	6	4.45e-04	3.38e-02	-0.246	0.07	1.46e-03	2.46e-02	1.05e-01	8.65e-01
CXCR4	7	4.13e-05	6.68e-03	0.784	0.191	2.11e-25	1.19e-21	1.00e-06	0.00e+00
DBP	7	4.33e-04	3.33e-02	-0.325	0.092	2.94e-06	1.99e-04	9.09e-03	3.22e-01
DCUN1D5	6	4.97e-04	3.64e-02	-0.182	0.052	1.52e-04	4.53e-03	4.42e-02	6.53e-01
DDIT4	7	2.95e-07	1.58e-04	1.855	0.362	8.29e-24	3.73e-20	1.00e-06	0.00e+00
DFNA5	7	4.70e-02	3.98e-01	0.396	0.2	1.91e-08	2.98e-06	1.44e-04	3.11e-02
DHX8	7	2.68e-05	4.83e-03	0.124	0.03	3.60e-04	8.90e-03	8.58e-02	8.17e-01
DISP1	6	5.15e-03	1.48e-01	0.74	0.264	1.36e-10	4.44e-08	7.40e-05	1.89e-02
DNAJA1	7	4.27e-05	6.85e-03	-0.319	0.078	5.59e-08	7.34e-06	1.42e-02	4.04e-01
DNAJC15	6	3.88e-07	2.00e-04	0.249	0.049	1.88e-03	2.94e-02	1.72e-01	9.84e-01
DUSP1	7	3.76e-02	3.63e-01	0.557	0.268	3.89e-10	1.06e-07	1.59e-04	3.20e-02
DUSP3	7	1.79e-01	6.34e-01	-0.191	0.142	2.17e-06	1.55e-04	2.46e-04	4.03e-02
EIF4EBP2	7	8.07e-06	2.03e-03	0.148	0.033	1.56e-04	4.62e-03	7.86e-02	7.99e-01
ELL2	7	1.51e-05	3.01e-03	0.449	0.104	3.36e-05	1.42e-03	2.51e-02	5.14e-01
ENDOD1	7	7.76e-01	9.49e-01	-0.069	0.241	9.61e-06	5.26e-04	2.10e-05	7.86e-03
ENO2	7	4.01e-06	1.29e-03	-0.289	0.063	3.14e-04	7.98e-03	1.53e-01	9.58e-01
FAM103A1	6	3.70e-05	6.15e-03	0.149	0.036	3.02e-03	4.03e-02	2.41e-01	1.04e+00
FAM210A	6	3.31e-04	2.82e-02	-0.267	0.074	2.54e-05	1.15e-03	1.95e-02	4.64e-01
FAM214A	6	1.07e-03	6.15e-02	0.503	0.154	1.12e-09	2.64e-07	3.20e-05	1.07e-02
FAM69A	6	6.15e-04	4.23e-02	0.437	0.128	2.38e-05	1.09e-03	9.86e-03	3.34e-01
FARSA	7	1.53e-04	1.71e-02	-0.261	0.069	1.40e-05	7.11e-04	1.48e-02	4.13e-01
FBXO32	6	6.52e-04	4.41e-02	0.356	0.104	7.70e-08	9.46e-06	1.86e-03	1.37e-01
FGD3	6	2.81e-05	5.00e-03	0.195	0.047	5.22e-04	1.16e-02	9.12e-02	8.28e-01
FHL1	7	3.71e-03	1.26e-01	0.433	0.149	1.32e-07	1.47e-05	2.27e-04	3.81e-02
FIBP	7	1.03e-05	2.28e-03	0.152	0.035	2.91e-03	3.94e-02	2.65e-01	1.06e+00
FKBP5	4	9.14e-20	6.85e-16	2.542	0.279	5.29e-11	1.86e-08	1.00e-06	0.00e+00
FLI1	7	3.02e-04	2.64e-02	0.252	0.07	1.39e-04	4.18e-03	5.66e-02	7.11e-01
FLJ42627	6	1.13e-05	2.44e-03	-0.241	0.055	3.06e-04	7.83e-03	5.81e-02	7.21e-01
FLT3LG	6	1.58e-04	1.73e-02	-0.304	0.08	5.67e-04	1.23e-02	9.28e-02	8.30e-01
FMO5	6	1.84e-02	2.71e-01	0.524	0.222	3.81e-07	3.73e-05	6.70e-05	1.77e-02
FNIP2	5	8.18e-05	1.10e-02	0.209	0.053	3.37e-03	4.35e-02	2.46e-01	1.05e+00
FOXO1	7	1.33e-01	5.75e-01	0.257	0.171	1.91e-11	7.81e-09	2.23e-04	3.80e-02
FOXP4	6	4.00e-04	3.18e-02	-0.149	0.042	3.83e-03	4.74e-02	1.39e-01	9.35e-01
FPR1	7	1.47e-01	5.96e-01	0.303	0.209	7.29e-07	6.28e-05	3.21e-04	4.81e-02
FSCN1	7	7.75e-09	6.34e-06	-0.332	0.057	1.46e-06	1.13e-04	1.07e-02	3.51e-01
GADD45B	7	4.62e-01	8.41e-01	0.206	0.281	2.53e-04	6.82e-03	3.50e-05	1.09e-02
GALK1	7	1.35e-04	1.58e-02	0.242	0.063	5.86e-05	2.21e-03	5.34e-02	6.95e-01
GALNT6	6	3.87e-04	3.12e-02	-0.256	0.072	1.19e-03	2.10e-02	1.40e-01	9.38e-01
GCH1	7	4.04e-04	3.19e-02	-0.359	0.101	1.60e-06	1.21e-04	4.00e-02	6.35e-01
GFPT1	7	4.14e-06	1.29e-03	-0.182	0.04	4.67e-04	1.07e-02	5.17e-02	6.89e-01
GGNBP2	7	1.21e-04	1.47e-02	0.239	0.062	5.97e-08	7.71e-06	9.97e-03	3.36e-01
GLB1	3	1.64e-06	6.70e-04	0.265	0.055	1.11e-04	3.60e-03	1.24e-02	3.80e-01
GLCCI1	6	8.68e-06	2.10e-03	0.332	0.075	3.00e-07	3.05e-05	9.06e-04	9.13e-02
GLUL	7	1.64e-06	6.70e-04	0.839	0.175	1.57e-14	1.31e-11	1.00e-06	0.00e+00
GPR83	6	3.02e-06	1.11e-03	0.199	0.043	4.85e-04	1.10e-02	9.60e-02	8.38e-01
GRAMD1A	6	9.03e-05	1.17e-02	-0.23	0.059	7.56e-05	2.69e-03	3.73e-02	6.14e-01
GRAMD4	7	7.39e-02	4.68e-01	0.275	0.154	1.26e-09	2.77e-07	1.90e-05	7.42e-03
GRAP2	7	4.07e-02	3.75e-01	0.555	0.271	5.47e-11	1.89e-08	1.20e-05	5.62e-03
GRASP	6	2.67e-02	3.17e-01	0.814	0.367	1.24e-11	5.34e-09	1.90e-05	7.42e-03
GSG2	6	1.20e-05	2.57e-03	0.235	0.054	1.03e-06	8.33e-05	3.64e-03	2.07e-01
HARS2	7	9.15e-06	2.16e-03	0.178	0.04	7.75e-04	1.54e-02	2.68e-01	1.06e+00
HES1	7	2.43e-02	3.03e-01	-0.525	0.233	1.29e-10	4.26e-08	1.00e-06	0.00e+00
HIPK2	7	3.40e-02	3.51e-01	0.406	0.192	1.80e-09	3.79e-07	2.59e-04	4.13e-02
HMGB1	7	5.51e-08	3.75e-05	0.166	0.031	3.49e-06	2.27e-04	6.35e-03	2.72e-01
HMGCS1	7	1.50e-07	8.84e-05	-0.494	0.094	2.08e-11	8.34e-09	1.23e-04	2.75e-02
HSP90AA1	7	2.36e-05	4.38e-03	-0.182	0.043	2.16e-04	6.02e-03	9.37e-02	8.33e-01
HSPH1	7	1.08e-04	1.34e-02	-0.227	0.059	1.51e-04	4.51e-03	7.27e-02	7.79e-01
ID3	7	4.86e-04	3.61e-02	-0.516	0.148	1.13e-09	2.64e-07	1.88e-02	4.58e-01
IER3	7	6.92e-06	1.95e-03	-0.532	0.118	4.01e-11	1.48e-08	2.12e-04	3.71e-02
IFI30	3	1.43e-04	1.63e-02	-0.384	0.101	2.07e-03	3.12e-02	2.27e-01	1.04e+00
IGBP1	7	1.83e-04	1.92e-02	0.172	0.046	2.93e-03	3.95e-02	1.19e-01	9.01e-01
IGF2BP3	7	2.54e-04	2.35e-02	0.344	0.094	2.47e-04	6.68e-03	1.22e-01	9.10e-01
IKZF1	6	1.04e-01	5.27e-01	0.257	0.158	3.10e-07	3.13e-05	1.00e-04	2.37e-02
IL21R	7	8.35e-05	1.12e-02	-0.387	0.098	4.44e-09	8.53e-07	9.89e-04	9.75e-02
IL4I1	4	9.99e-02	5.22e-01	-0.882	0.536	8.70e-15	7.52e-12	8.00e-05	2.00e-02
IL6ST	7	3.83e-04	3.12e-02	0.405	0.114	5.10e-10	1.35e-07	1.29e-03	1.14e-01
INPP1	7	5.20e-03	1.49e-01	0.457	0.163	1.24e-09	2.76e-07	8.90e-05	2.20e-02
IRAK4	6	1.39e-05	2.89e-03	0.191	0.044	1.29e-04	3.97e-03	3.96e-02	6.32e-01
IRF1	7	7.20e-04	4.74e-02	-0.357	0.106	6.79e-07	5.96e-05	2.19e-02	4.88e-01
IRF2BP2	6	6.49e-02	4.50e-01	-0.291	0.158	7.62e-08	9.41e-06	3.30e-05	1.07e-02
ISG20	7	4.10e-06	1.29e-03	0.924	0.2	4.69e-18	7.53e-15	1.00e-06	0.00e+00
ITGA6	7	2.45e-01	7.01e-01	0.437	0.376	1.17e-09	2.69e-07	1.10e-05	5.49e-03
ITSN1	7	6.34e-06	1.87e-03	0.141	0.031	1.24e-03	2.16e-02	2.32e-01	1.04e+00
KCNH2	7	3.52e-04	2.96e-02	-0.225	0.063	1.37e-05	6.96e-04	2.09e-02	4.81e-01
KCNH5	6	1.95e-04	2.01e-02	0.094	0.025	1.51e-03	2.52e-02	2.04e-01	1.01e+00
KIAA0391	7	5.29e-05	8.03e-03	0.308	0.076	1.45e-06	1.13e-04	7.71e-03	2.98e-01
KIAA0930	7	5.40e-05	8.14e-03	-0.296	0.073	1.84e-10	5.82e-08	2.76e-04	4.31e-02
KIAA1551	7	7.68e-05	1.06e-02	0.258	0.065	8.31e-05	2.88e-03	2.84e-02	5.46e-01
KLF13	7	1.91e-03	8.76e-02	0.687	0.221	3.59e-18	6.73e-15	1.00e-06	0.00e+00
KLF9	7	4.54e-03	1.40e-01	0.683	0.24	8.56e-15	7.52e-12	7.70e-05	1.94e-02
KLHL24	7	9.44e-03	2.00e-01	0.5	0.192	5.25e-10	1.37e-07	6.20e-05	1.66e-02
KLHL6	6	2.04e-04	2.07e-02	0.422	0.114	2.12e-07	2.26e-05	1.37e-03	1.16e-01
KLHL8	6	5.99e-01	8.93e-01	-0.087	0.165	5.69e-06	3.43e-04	1.47e-04	3.15e-02
KPTN	7	2.42e-04	2.28e-02	-0.102	0.028	5.17e-04	1.15e-02	9.26e-02	8.31e-01
KTN1-AS1	2	8.19e-06	2.03e-03	-0.439	0.099	4.80e-04	1.09e-02	8.24e-03	3.11e-01
LCK	7	1.70e-07	9.82e-05	-0.187	0.036	6.37e-05	2.36e-03	1.52e-01	9.56e-01
LETMD1	7	4.16e-08	2.92e-05	0.217	0.04	1.05e-05	5.67e-04	1.34e-02	3.96e-01
LGALS9	7	1.35e-07	8.21e-05	-0.253	0.048	8.36e-05	2.89e-03	2.22e-01	1.03e+00
LGMN	7	3.05e-05	5.30e-03	-0.222	0.053	5.58e-04	1.22e-02	1.85e-01	9.96e-01
LHFPL1	6	6.18e-04	4.23e-02	0.134	0.039	1.62e-03	2.65e-02	1.82e-01	9.95e-01
LINC00888	3	3.56e-06	1.23e-03	0.484	0.104	5.65e-04	1.23e-02	4.25e-02	6.47e-01
LINC01597	2	1.42e-04	1.62e-02	-0.269	0.071	3.38e-03	4.35e-02	3.18e-02	5.68e-01
LMBR1	6	9.34e-04	5.62e-02	0.462	0.14	8.10e-10	2.00e-07	1.23e-04	2.75e-02
LOC100049716	5	1.33e-08	1.03e-05	0.256	0.045	2.88e-05	1.28e-03	1.21e-02	3.75e-01
LOC100130872	3	1.63e-05	3.22e-03	0.709	0.164	1.08e-04	3.53e-03	1.62e-02	4.32e-01
LOC100505549	5	4.09e-04	3.20e-02	-0.344	0.097	2.78e-05	1.23e-03	2.07e-02	4.80e-01
LOC101928076	3	1.89e-04	1.97e-02	-0.189	0.051	2.09e-03	3.14e-02	7.07e-02	7.72e-01
LOC105377371	3	9.08e-06	2.16e-03	0.28	0.063	2.27e-03	3.32e-02	8.87e-02	8.24e-01
LOC645513	3	1.89e-05	3.63e-03	0.248	0.058	1.29e-03	2.22e-02	7.46e-02	7.84e-01
LRRC1	7	1.01e-05	2.28e-03	0.221	0.05	7.54e-04	1.51e-02	1.66e-01	9.77e-01
LRRFIP1	6	3.80e-06	1.29e-03	-0.461	0.1	1.59e-08	2.57e-06	1.94e-04	3.52e-02
LRWD1	3	6.22e-05	9.24e-03	-0.233	0.058	2.00e-03	3.05e-02	4.38e-02	6.52e-01
LSM8	7	6.69e-04	4.48e-02	0.172	0.05	1.50e-04	4.48e-03	8.30e-02	8.09e-01
LTB	7	4.27e-04	3.31e-02	-0.534	0.152	2.13e-13	1.29e-10	7.63e-04	8.20e-02
LY86	7	4.37e-04	3.34e-02	-0.26	0.074	2.12e-06	1.52e-04	2.10e-02	4.81e-01
LYSMD2	6	3.46e-17	1.55e-13	-0.517	0.061	8.07e-17	1.07e-13	1.00e-06	0.00e+00
MALSU1	6	4.33e-04	3.33e-02	-0.135	0.038	1.15e-03	2.06e-02	1.49e-01	9.54e-01
MAP2K1	7	7.94e-06	2.03e-03	0.318	0.071	2.16e-07	2.28e-05	3.58e-03	2.05e-01
MAP2K5	7	1.42e-04	1.62e-02	0.175	0.046	2.92e-03	3.95e-02	2.94e-01	1.07e+00
MAPK1	7	2.61e-04	2.40e-02	0.239	0.066	2.31e-04	6.34e-03	8.11e-02	8.06e-01
MAPK6	7	7.96e-01	9.54e-01	-0.046	0.18	1.70e-03	2.74e-02	1.58e-04	3.23e-02
MAST3	6	5.73e-04	3.99e-02	-0.158	0.046	3.56e-03	4.50e-02	1.10e-01	8.79e-01
MCRIP2	5	9.53e-06	2.21e-03	-0.22	0.05	2.22e-03	3.27e-02	1.83e-01	9.95e-01
MED23	7	7.34e-05	1.03e-02	0.163	0.041	4.61e-04	1.06e-02	1.12e-01	8.82e-01
MEF2C	7	2.87e-03	1.08e-01	-0.434	0.145	1.13e-07	1.27e-05	2.94e-04	4.49e-02
METTL10	7	2.27e-05	4.28e-03	-0.204	0.048	2.07e-07	2.22e-05	1.18e-02	3.70e-01
METTL8	6	9.86e-02	5.19e-01	-0.183	0.111	5.27e-05	2.05e-03	3.22e-04	4.79e-02
MFSD6	7	3.15e-05	5.40e-03	0.226	0.054	5.01e-08	6.70e-06	1.73e-02	4.45e-01
MIA2	7	7.17e-05	1.02e-02	0.158	0.04	3.22e-03	4.21e-02	3.30e-01	1.09e+00
MID1IP1	7	3.51e-05	5.93e-03	-0.393	0.095	3.44e-10	9.78e-08	1.20e-05	5.62e-03
MIR15B	2	3.07e-36	3.45e-32	1.204	0.096	8.05e-08	9.73e-06	1.04e-04	2.43e-02
MIR16-2	2	1.74e-09	1.95e-06	0.539	0.09	3.92e-04	9.51e-03	1.13e-02	3.61e-01
MKRN1	7	3.36e-06	1.18e-03	0.215	0.046	3.43e-04	8.57e-03	6.64e-02	7.51e-01
MLK4	5	7.69e-04	4.91e-02	-0.367	0.109	4.02e-04	9.70e-03	4.39e-02	6.51e-01
MRFAP1L1	7	1.65e-05	3.22e-03	0.148	0.034	1.90e-03	2.96e-02	2.62e-01	1.06e+00
MYADM	6	6.01e-04	4.15e-02	-0.365	0.106	1.77e-06	1.30e-04	4.38e-03	2.26e-01
NAA25	6	7.67e-06	2.03e-03	-0.304	0.068	4.50e-08	6.17e-06	8.14e-04	8.59e-02
NAB2	7	3.43e-08	2.48e-05	-0.227	0.041	8.53e-06	4.75e-04	1.46e-02	4.10e-01
NCK2	7	4.42e-04	3.36e-02	0.332	0.094	9.28e-09	1.64e-06	6.89e-04	7.63e-02
NDFIP1	6	3.96e-06	1.29e-03	0.232	0.05	9.02e-04	1.71e-02	8.28e-02	8.08e-01
NFIL3	7	1.18e-04	1.44e-02	1.243	0.323	2.20e-19	6.18e-16	1.00e-06	0.00e+00
NFKBIA	7	4.86e-02	4.05e-01	0.516	0.261	1.14e-09	2.64e-07	3.60e-05	1.11e-02
NGLY1	7	3.92e-07	2.00e-04	-0.189	0.037	4.96e-05	1.95e-03	2.95e-02	5.54e-01
NINJ1	7	4.94e-04	3.64e-02	-0.235	0.068	5.22e-05	2.03e-03	9.28e-02	8.30e-01
NINJ2	7	7.52e-04	4.84e-02	0.191	0.057	2.88e-03	3.92e-02	2.05e-01	1.01e+00
NMRK1	7	2.62e-04	2.40e-02	0.195	0.054	2.99e-03	4.01e-02	3.00e-01	1.07e+00
NOL7	7	2.84e-01	7.34e-01	-0.111	0.104	1.02e-05	5.52e-04	2.57e-04	4.12e-02
NOTCH2	7	1.91e-04	1.99e-02	-0.174	0.047	2.04e-04	5.76e-03	9.13e-02	8.28e-01
NUP153	7	1.50e-04	1.68e-02	-0.171	0.045	6.45e-07	5.70e-05	1.37e-03	1.16e-01
OARD1	7	5.10e-05	7.79e-03	0.226	0.056	2.50e-05	1.13e-03	1.69e-02	4.40e-01
OAS3	6	7.22e-05	1.02e-02	-0.395	0.1	1.35e-03	2.31e-02	1.23e-01	9.10e-01
OLAH	7	8.50e-03	1.89e-01	0.436	0.166	9.44e-10	2.31e-07	3.28e-04	4.85e-02
OR2T8	3	3.42e-04	2.89e-02	-0.139	0.039	3.31e-03	4.29e-02	1.54e-01	9.58e-01
PAK1IP1	7	1.35e-04	1.58e-02	-0.322	0.084	1.12e-07	1.27e-05	5.40e-04	6.59e-02
PAN2	7	6.48e-05	9.46e-03	0.225	0.056	5.89e-05	2.21e-03	2.99e-02	5.54e-01
PAQR8	6	6.32e-03	1.63e-01	0.435	0.159	1.18e-13	8.26e-11	3.00e-06	2.01e-03
PARP4	7	4.41e-05	6.95e-03	0.184	0.045	3.24e-06	2.15e-04	2.97e-02	5.55e-01
PBX2	4	9.02e-07	4.31e-04	-0.228	0.046	3.52e-03	4.46e-02	1.28e-01	9.17e-01
PCDH11X	5	3.83e-05	6.27e-03	0.111	0.027	1.67e-03	2.71e-02	2.71e-01	1.06e+00
PCGF2	7	1.06e-04	1.33e-02	-0.16	0.041	1.83e-03	2.89e-02	2.16e-01	1.03e+00
PCNX1	7	3.30e-06	1.18e-03	0.158	0.034	2.28e-05	1.06e-03	2.23e-02	4.93e-01
PCTP	7	4.08e-04	3.20e-02	0.334	0.094	4.59e-07	4.37e-05	1.70e-03	1.29e-01
PEA15	7	1.63e-02	2.56e-01	-0.292	0.122	1.84e-11	7.66e-09	2.47e-04	4.02e-02
PFKFB2	7	2.47e-02	3.04e-01	1.091	0.486	3.03e-14	2.27e-11	1.00e-06	0.00e+00
PHACTR4	7	4.73e-05	7.33e-03	0.124	0.03	8.80e-04	1.68e-02	1.98e-01	1.01e+00
PIGV	7	3.67e-10	4.92e-07	0.284	0.045	5.97e-08	7.71e-06	4.04e-04	5.64e-02
PIGX	5	7.85e-04	4.98e-02	-0.166	0.049	2.12e-03	3.17e-02	1.38e-01	9.34e-01
PIK3CD	7	3.45e-09	3.69e-06	-0.377	0.064	5.65e-08	7.38e-06	2.47e-03	1.61e-01
PIK3IP1	7	4.08e-05	6.64e-03	1.316	0.321	5.72e-23	2.14e-19	1.00e-06	0.00e+00
PIM3	6	7.23e-04	4.74e-02	-0.223	0.066	5.57e-05	2.13e-03	2.86e-02	5.48e-01
PITRM1	7	6.76e-06	1.95e-03	0.223	0.05	1.15e-05	6.10e-04	1.19e-02	3.70e-01
PKLR	7	4.64e-05	7.24e-03	-0.112	0.027	3.31e-03	4.29e-02	3.77e-01	1.10e+00
PLIN2	7	1.44e-05	2.92e-03	0.249	0.058	5.33e-08	7.05e-06	1.91e-02	4.61e-01
PLXNA1	7	5.38e-01	8.72e-01	0.1	0.163	2.00e-05	9.33e-04	1.60e-04	3.18e-02
PNPLA8	6	6.58e-03	1.67e-01	0.427	0.157	4.32e-11	1.56e-08	1.60e-05	6.54e-03
POLR3GL	6	1.28e-09	1.51e-06	0.237	0.039	2.47e-05	1.12e-03	2.07e-02	4.80e-01
PPM1F	7	6.95e-06	1.95e-03	-0.22	0.049	1.33e-04	4.07e-03	4.78e-02	6.69e-01
PRDM1	7	7.89e-03	1.81e-01	0.9	0.339	5.50e-17	8.24e-14	1.00e-06	0.00e+00
PTER	7	2.71e-04	2.45e-02	-0.139	0.038	3.37e-03	4.35e-02	3.03e-01	1.07e+00
