Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
MYC	13	6.08e-01	8.95e-01	-0.072	0.141	1.84e-06	6.62e-05	1.00e-06	0.00e+00
NAMPT	11	9.59e-01	9.93e-01	-0.008	0.163	5.63e-11	5.60e-09	1.13e-04	1.96e-02
NCOA3	12	2.86e-01	7.41e-01	0.12	0.113	1.21e-13	2.01e-11	2.00e-06	1.01e-03
NEK6	9	2.32e-04	3.36e-02	-0.33	0.09	2.24e-15	4.73e-13	1.03e-03	8.37e-02
NFIL3	13	2.22e-07	2.72e-04	1.017	0.196	3.50e-31	3.88e-28	1.00e-06	0.00e+00
NFKBIA	12	3.09e-04	3.86e-02	0.729	0.202	1.09e-27	8.46e-25	1.00e-06	5.61e-04
NGLY1	12	8.08e-06	3.55e-03	-0.147	0.033	1.50e-04	2.57e-03	1.82e-01	9.62e-01
NINJ1	12	4.04e-05	1.16e-02	-0.205	0.05	1.18e-06	4.50e-05	9.13e-02	7.73e-01
NLN	9	5.35e-02	4.13e-01	-0.344	0.178	1.44e-09	1.14e-07	5.40e-05	1.17e-02
NNMT	12	4.23e-02	3.74e-01	0.319	0.157	3.58e-29	2.98e-26	5.00e-06	2.12e-03
NOP16	11	1.22e-01	5.57e-01	-0.213	0.138	2.43e-06	8.49e-05	3.62e-04	4.51e-02
NOTCH1	11	3.68e-04	4.39e-02	-0.339	0.095	7.97e-12	9.01e-10	1.20e-03	9.19e-02
NR1D2	12	1.55e-02	2.47e-01	-0.59	0.244	4.65e-12	5.55e-10	4.06e-04	4.85e-02
NR3C1	13	9.93e-01	9.99e-01	0.002	0.25	6.42e-13	9.21e-11	1.00e-06	0.00e+00
NSFL1C	11	1.79e-04	3.02e-02	-0.125	0.033	3.90e-06	1.27e-04	7.22e-02	7.09e-01
NT5E	12	3.20e-04	3.95e-02	-0.283	0.079	2.03e-07	9.63e-06	2.16e-02	4.28e-01
NUP153	12	9.66e-05	2.06e-02	-0.131	0.034	6.73e-07	2.78e-05	8.29e-03	2.68e-01
NUP62	11	6.33e-05	1.52e-02	-0.255	0.064	1.46e-10	1.35e-08	9.72e-03	2.91e-01
OAS1	12	4.35e-04	4.78e-02	-0.288	0.082	2.88e-12	3.56e-10	1.42e-02	3.57e-01
OAS3	9	1.66e-04	2.83e-02	-0.326	0.087	7.40e-05	1.45e-03	1.05e-01	8.06e-01
OLAH	11	3.28e-05	9.91e-03	0.489	0.118	7.72e-17	1.85e-14	3.00e-05	7.71e-03
OR11A1	10	6.49e-05	1.54e-02	0.094	0.023	6.11e-04	7.92e-03	1.25e-01	8.56e-01
PAK1IP1	11	2.31e-03	1.07e-01	-0.231	0.076	1.79e-08	1.12e-06	2.33e-04	3.36e-02
PAQR8	9	2.14e-03	1.03e-01	0.494	0.161	6.10e-21	2.63e-18	4.00e-06	1.79e-03
PBX2	8	1.07e-04	2.15e-02	-0.214	0.055	1.70e-05	4.37e-04	6.88e-02	6.98e-01
PCDH11X	9	1.10e-07	1.51e-04	0.126	0.024	2.06e-04	3.35e-03	2.78e-01	1.06e+00
PCSK5	12	5.86e-01	8.86e-01	0.079	0.144	4.47e-10	3.86e-08	8.80e-05	1.74e-02
PDK4	12	2.39e-04	3.40e-02	1.142	0.311	8.25e-30	7.38e-27	1.67e-04	2.59e-02
PDLIM5	13	1.33e-01	5.74e-01	0.167	0.111	1.82e-21	8.16e-19	9.20e-05	1.75e-02
PDXP	4	2.16e-04	3.27e-02	-0.186	0.05	1.99e-03	1.99e-02	8.69e-02	7.57e-01
PER1	5	4.53e-02	3.86e-01	1	0.5	2.17e-65	1.26e-61	8.90e-05	1.72e-02
PFKFB2	12	3.00e-02	3.27e-01	0.623	0.287	2.03e-13	3.19e-11	1.00e-06	5.61e-04
PIK3C2A	13	1.24e-04	2.33e-02	0.206	0.054	8.77e-08	4.49e-06	6.25e-02	6.75e-01
PIK3R1	12	6.19e-05	1.52e-02	0.655	0.163	5.00e-22	2.33e-19	1.00e-06	0.00e+00
PKP2	12	3.20e-03	1.24e-01	0.587	0.199	8.40e-18	2.44e-15	9.00e-06	3.25e-03
PLIN2	12	1.29e-05	5.09e-03	0.208	0.048	1.49e-09	1.17e-07	3.13e-02	5.05e-01
PLK2	13	1.16e-04	2.23e-02	-0.344	0.089	1.89e-10	1.74e-08	5.34e-02	6.34e-01
PMM1	13	4.58e-04	4.93e-02	0.124	0.035	2.46e-04	3.88e-03	5.23e-01	1.15e+00
POLR3G	12	4.68e-02	3.91e-01	-0.196	0.099	9.24e-08	4.72e-06	2.33e-04	3.36e-02
PPM1F	12	1.58e-05	5.57e-03	-0.194	0.045	4.63e-06	1.47e-04	4.93e-02	6.22e-01
PRDX6	13	8.48e-05	1.86e-02	0.273	0.069	1.42e-17	3.99e-15	1.30e-03	9.73e-02
PRPS1	13	4.66e-04	4.98e-02	-0.179	0.051	1.38e-04	2.39e-03	3.18e-01	1.08e+00
PRPSAP2	13	1.40e-05	5.25e-03	-0.128	0.03	4.47e-04	6.25e-03	5.00e-01	1.14e+00
PRUNE1	8	1.45e-04	2.57e-02	0.163	0.043	5.73e-04	7.54e-03	1.56e-01	9.23e-01
PTX3	12	8.60e-04	6.74e-02	0.418	0.126	1.12e-15	2.43e-13	2.22e-04	3.29e-02
PVRL2	2	4.35e-04	4.78e-02	0.312	0.089	1.55e-03	1.64e-02	1.43e-01	8.96e-01
RALA	13	3.92e-05	1.14e-02	-0.198	0.048	9.42e-07	3.68e-05	1.42e-01	8.95e-01
RASSF4	11	1.49e-02	2.45e-01	0.217	0.089	1.11e-14	2.19e-12	3.91e-04	4.70e-02
RBM15	11	1.88e-05	6.52e-03	0.131	0.031	6.51e-04	8.33e-03	2.43e-01	1.04e+00
RCAN1	12	1.02e-03	7.41e-02	0.559	0.17	1.04e-18	3.30e-16	1.40e-05	4.46e-03
RCC2	9	1.03e-05	4.21e-03	-0.159	0.036	6.11e-04	7.92e-03	3.53e-01	1.10e+00
RCSD1	8	2.37e-03	1.07e-01	0.442	0.145	2.33e-12	2.98e-10	3.30e-05	8.30e-03
RHOBTB3	12	3.28e-04	3.98e-02	0.661	0.184	8.62e-19	2.87e-16	1.00e-06	0.00e+00
RPS6KA2	12	1.02e-04	2.11e-02	0.492	0.127	2.60e-18	7.84e-16	1.30e-05	4.23e-03
RRAGA	12	2.00e-04	3.18e-02	0.097	0.026	4.57e-03	3.73e-02	6.21e-01	1.15e+00
RSAD2	11	9.55e-01	9.92e-01	0.01	0.169	5.31e-03	4.16e-02	1.65e-04	2.59e-02
RUNX1	5	3.99e-01	8.11e-01	-0.125	0.149	4.49e-05	9.65e-04	3.17e-04	4.09e-02
RUNX2	12	2.52e-02	3.04e-01	0.902	0.403	1.22e-13	2.01e-11	1.00e-06	0.00e+00
SAP30	12	8.04e-04	6.48e-02	0.518	0.154	3.12e-23	1.51e-20	1.00e-06	0.00e+00
SEPHS1	12	1.17e-05	4.69e-03	-0.142	0.032	1.00e-04	1.86e-03	2.10e-01	1.01e+00
SESN1	11	2.39e-03	1.07e-01	0.661	0.218	8.30e-11	8.05e-09	1.65e-04	2.59e-02
SESTD1	9	1.85e-04	3.05e-02	0.155	0.041	2.25e-04	3.61e-03	1.17e-01	8.38e-01
SGK1	12	6.86e-01	9.23e-01	0.091	0.225	2.29e-10	2.08e-08	2.40e-05	6.57e-03
SGK223	8	9.48e-01	9.91e-01	-0.012	0.18	5.91e-05	1.20e-03	4.40e-05	1.06e-02
SH2B3	13	3.05e-09	1.01e-05	-0.235	0.04	1.19e-08	7.79e-07	2.69e-02	4.76e-01
SHANK1	11	3.15e-04	3.92e-02	-0.125	0.035	5.74e-05	1.18e-03	1.51e-01	9.10e-01
SIDT2	11	1.03e-05	4.21e-03	0.248	0.056	1.05e-07	5.33e-06	9.19e-02	7.74e-01
SLA	11	1.93e-05	6.52e-03	0.757	0.177	1.52e-17	4.22e-15	1.00e-06	5.61e-04
SLC19A2	12	4.36e-04	4.78e-02	0.455	0.129	3.35e-08	1.88e-06	6.04e-03	2.25e-01
SLC20A1	12	1.59e-04	2.74e-02	-0.229	0.061	1.10e-07	5.51e-06	5.02e-02	6.26e-01
SLC22A23	9	4.89e-02	3.98e-01	0.285	0.145	7.21e-10	6.06e-08	2.10e-05	6.07e-03
SLC38A2	11	2.08e-02	2.80e-01	0.267	0.115	4.54e-19	1.62e-16	3.76e-04	4.59e-02
SLC43A2	9	1.94e-04	3.14e-02	-0.322	0.086	7.05e-06	2.08e-04	3.11e-02	5.04e-01
SLC44A2	9	1.42e-09	5.52e-06	0.355	0.059	6.41e-09	4.44e-07	7.41e-02	7.19e-01
SLC7A5P1	2	2.22e-04	3.28e-02	-0.256	0.069	9.53e-04	1.12e-02	7.68e-02	7.28e-01
SLFN5	9	1.44e-01	5.91e-01	0.194	0.133	2.72e-06	9.33e-05	1.61e-04	2.57e-02
SMAP2	9	2.68e-05	8.67e-03	0.734	0.175	1.95e-29	1.68e-26	1.00e-06	0.00e+00
SMIM3	9	3.10e-07	3.01e-04	1.436	0.281	3.64e-70	2.82e-66	1.00e-06	0.00e+00
SNORA27	3	3.36e-04	4.05e-02	-0.257	0.072	3.52e-03	3.06e-02	7.45e-02	7.20e-01
SNTB2	13	1.89e-04	3.10e-02	0.44	0.118	7.32e-12	8.39e-10	5.00e-06	2.12e-03
SORT1	12	2.51e-03	1.10e-01	0.42	0.139	1.94e-25	1.29e-22	2.58e-04	3.62e-02
